phase,name,status,dataset,model,objective,seed,run_tag,target_epochs,target_folds,target_batch_size,target_eval_every,completed_folds,actual_epochs,actual_batch_size,actual_eval_every,lr,density_prior,mean_best_epoch,mean_valid_mAP,mean_valid_loss,tuned_mAP,tuned_mf1,score_required,purpose,run_dir
P5,prior_ablation,pending,sleep,gru,density_custom,0,prior_none_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Measure whether sparse-rate initialization matters.,
P5,prior_ablation,pending,sleep,gru,density_custom,1,prior_sparse_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Measure whether sparse-rate initialization matters.,
P5,prior_ablation,pending,sleep,gru,density_custom,1,prior_none_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Measure whether sparse-rate initialization matters.,
P5,prior_ablation,pending,sleep,gru,density_custom,2,prior_sparse_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Measure whether sparse-rate initialization matters.,
P5,prior_ablation,pending,sleep,gru,density_custom,2,prior_none_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Measure whether sparse-rate initialization matters.,
P6,target_width_ablation,pending,sleep,gru,density_custom,0,tol05_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Appendix sensitivity of tolerance-derived density target width.,
P6,target_width_ablation,pending,sleep,gru,density_custom,0,tol15_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Appendix sensitivity of tolerance-derived density target width.,
P7,online_model_ablation,pending,sleep,fgru,density_hard,0,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,fgru,density_hard,1,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,fgru,density_hard,2,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,fgru,hard,0,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,fgru,hard,1,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,fgru,hard,2,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,fgru,seg,0,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,fgru,seg,1,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,fgru,seg,2,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,flstm,density_hard,0,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,flstm,density_hard,1,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,flstm,density_hard,2,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,flstm,hard,0,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,flstm,hard,1,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
