dataset,model,objective,run_tag,postprocess_objective,tolerance,mean,std,count
sleep,fgru,seg,online_e20_bs32_eval5,seg1,120.0,0.2383295478048636,0.003935929468477778,3
sleep,fgru,seg,online_e20_bs32_eval5,seg2,120.0,0.25939086768464664,0.006487532525368376,3
sleep,fgru,seg,online_e20_bs32_eval5,seg1,150.0,0.2848029228912686,0.009602941696543214,3
sleep,fgru,seg,online_e20_bs32_eval5,seg2,150.0,0.34163818379620187,0.0164389722062269,3
sleep,fgru,seg,online_e20_bs32_eval5,seg1,180.0,0.3173002246098087,0.01541103885328598,3
sleep,fgru,seg,online_e20_bs32_eval5,seg2,180.0,0.4081473743220813,0.020272330014613302,3
sleep,fgru,seg,online_e20_bs32_eval5,seg1,240.0,0.3623564714391881,0.02164550412372475,3
sleep,fgru,seg,online_e20_bs32_eval5,seg2,240.0,0.4978499667548508,0.019287108121011053,3
sleep,fgru,seg,online_e20_bs32_eval5,seg1,300.0,0.3981842427124362,0.025218385895210936,3
sleep,fgru,seg,online_e20_bs32_eval5,seg2,300.0,0.5487685928763298,0.02122752555268258,3
sleep,fgru,seg,online_e20_bs32_eval5,seg1,360.0,0.42713244681558177,0.025041293709123117,3
sleep,fgru,seg,online_e20_bs32_eval5,seg2,360.0,0.5773562738838045,0.022417416494793386,3
sleep,fgru,density_custom,online_smoothing_e20_bs32_eval5,density_custom,12.0,0.0001753685387725,,1
sleep,fgru,density_custom,online_smoothing_e20_bs32_eval5,density_custom,36.0,0.0035544161745513,,1
sleep,fgru,density_custom,online_smoothing_e20_bs32_eval5,density_custom,60.0,0.0240599972140929,,1
sleep,fgru,density_custom,online_smoothing_e20_bs32_eval5,density_custom,90.0,0.1000712197199305,,1
sleep,fgru,density_custom,online_smoothing_e20_bs32_eval5,density_custom,120.0,0.2089617462635473,,1
sleep,fgru,density_custom,online_smoothing_e20_bs32_eval5,density_custom,150.0,0.3122303731005307,,1
